days_held,label,num_dir,entry_a_rel,entry_b_rel,abs_z,pair_encoded,prev_pnl,rolling_winrate_5,days_since_last,pair_avg_hold,abs_z_x_entry_a,z_per_days_gap,pair_dir_combo
8,0,0,0.7812813857588965,0.21871861424110353,2.016014449654449,72,0.0,0.0,999.0,8.0,1.575074562935987,0.002016014449654449,0
2,0,1,0.9981882244569189,0.001811775543081114,2.1792510937927183,48,-1.0,0.0,28.0,1.5,2.175302779958752,0.07514658944112822,48
13,1,0,0.64503756284147,0.35496243715853004,2.3815365167197315,4,1.0,1.0,13.0,12.5,1.5361805105628592,0.17010975119426655,0
4,0,1,0.7503435711559484,0.24965642884405154,2.037005246652367,50,-1.0,0.0,16.0,3.5,1.5284537912365408,0.11982383803837454,50
28,1,0,0.28251571955595023,0.7174842804440498,2.4637611475815504,1,0.0,1.0,999.0,28.0,0.6960512534229953,0.0024637611475815504,0
15,1,0,0.3820405487260883,0.6179594512739117,2.316357772647945,7,0.0,1.0,999.0,15.0,0.8849425945083607,0.002316357772647945,0
14,0,0,0.657483734262909,0.3425162657370911,2.97642044265748,25,0.0,0.0,999.0,14.0,1.9569480273749005,0.00297642044265748,0
6,0,1,0.17734021487652088,0.8226597851234791,2.189161963438044,23,1.0,0.5,28.0,15.5,0.38822645299560904,0.0754883435668291,23
6,0,0,0.6700124254501669,0.32998757454983313,2.61440588766962,8,-1.0,0.0,29.0,10.5,1.7516844299087189,0.08714686292232067,0
29,0,1,0.8365495544529082,0.1634504455470918,2.075527862257834,3,0.0,0.0,999.0,29.0,1.7362819084263883,0.0020755278622578343,3
6,0,0,0.2261088823630614,0.7738911176369386,3.648149839251305,44,1.0,0.5,29.0,13.5,0.8248790828460947,0.12160499464171017,0
15,1,0,0.1690523589751589,0.8309476410248411,2.0118182375247025,12,0.0,1.0,999.0,15.0,0.3401026188827975,0.0020118182375247025,0
7,0,0,0.6197342695882688,0.3802657304117312,2.088356210409895,40,-1.0,0.0,24.0,9.0,1.2942259106985012,0.0835342484163958,0
16,1,1,0.5015859028212862,0.49841409717871377,2.512072760845503,59,0.0,1.0,999.0,16.0,1.2600202837014527,0.002512072760845503,59
7,0,1,0.8366689347857884,0.1633310652142116,2.332665231027764,45,-1.0,0.0,20.0,5.5,1.9516685340558444,0.11107929671560782,45
