pair,entry_dt,exit_dt,dir,entry_a,entry_b,exit_a,pnl,days_held,exit_b
CEATLTD.NS : HAL.NS,2021-09-22,2021-09-29,LONG,1333.9425048828125,632.826416015625,1295.8759765625,-29.83465576171875,7,
IOC.NS : LICHSGFIN.NS,2021-09-22,2021-09-29,SHORT,61.97064208984375,399.8912353515625,67.824462890625,-1.9078369140624432,7,
SBIN.NS : JINDALSTEL.NS,2021-09-16,2021-09-30,LONG,440.4845886230469,390.3668518066406,430.3202819824219,-4.3843994140625,14,
GAIL.NS : LICHSGFIN.NS,2021-09-22,2021-09-30,SHORT,83.85005187988281,399.8912353515625,88.79720306396484,-8.336067199707031,8,
IOC.NS : GAIL.NS,2021-09-29,2021-10-01,LONG,67.824462890625,87.37174224853516,67.79785919189453,-3.8557662963867188,2,
JSWSTEEL.NS : HDFCBANK.NS,2021-09-24,2021-10-01,SHORT,631.7623901367188,1544.10791015625,646.2350463867188,-32.646728515625,7,
CGPOWER.NS : JINDALSTEL.NS,2021-09-20,2021-10-01,LONG,91.03265380859376,346.89398193359375,123.01042175292967,-18.016098022460966,11,
JSWSTEEL.NS : GRASIM.NS,2021-09-20,2021-10-04,SHORT,606.890625,1510.635009765625,652.8482666015625,57.87646484375,14,
BEL.NS : BDL.NS,2021-08-27,2021-10-06,LONG,58.20674133300781,183.71417236328125,62.989105224609375,7.303436279296903,40,
LT.NS : HINDZINC.NS,2021-09-20,2021-10-06,LONG,1639.8375244140625,211.37831115722656,1630.8896484375,-3.3241729736328125,16,
HINDZINC.NS : APOLLOTYRE.NS,2021-09-22,2021-10-06,SHORT,207.814453125,223.76646423339844,205.75460815429688,-7.8029937744140625,14,
CGPOWER.NS : CEATLTD.NS,2021-09-24,2021-10-06,LONG,110.38762664794922,1290.829833984375,113.60520935058594,-20.49420928955078,12,
GRASIM.NS : HAVELLS.NS,2021-09-28,2021-10-07,LONG,1621.945556640625,1342.11328125,1566.1181640625,-79.684326171875,9,
JSWSTEEL.NS : HAVELLS.NS,2021-10-01,2021-10-07,LONG,646.2350463867188,1331.580810546875,638.8549194335938,-41.76953125,6,
HINDZINC.NS : SBILIFE.NS,2021-10-05,2021-10-08,SHORT,204.054443359375,1252.019287109375,206.2777557373047,-67.20793151855469,3,
NTPC.NS : CEATLTD.NS,2021-09-28,2021-10-08,LONG,116.03447723388672,1299.942138671875,124.0808334350586,-29.677154541015625,10,
ABB.NS : HINDZINC.NS,2021-09-30,2021-10-08,LONG,1851.41943359375,203.7601623535156,1820.8857421875,-33.05128479003909,8,
AMBUJACEM.NS : SBILIFE.NS,2021-10-05,2021-10-08,SHORT,391.7693481445313,1252.019287109375,391.18701171875,-64.4022827148437,3,
APOLLOHOSP.NS : TCS.NS,2021-10-07,2021-10-11,SHORT,4377.2392578125,3655.184814453125,4326.6796875,-144.081787109375,4,
TCS.NS : ICICIPRULI.NS,2021-10-08,2021-10-11,LONG,3695.32421875,658.11328125,3460.54345703125,-236.1265869140625,3,
HINDZINC.NS : GAIL.NS,2021-09-07,2021-10-12,LONG,215.10562133789065,80.60783386230469,208.4356689453125,-14.356224060058622,35,
CGPOWER.NS : HINDZINC.NS,2021-09-21,2021-10-12,LONG,95.53726959228516,208.33755493164065,115.73375701904295,20.09837341308595,21,
NTPC.NS : HINDZINC.NS,2021-09-20,2021-10-13,LONG,107.90018463134766,211.37831115722656,128.6975860595703,14.519798278808565,23,
APOLLOHOSP.NS : SBILIFE.NS,2021-09-24,2021-10-13,SHORT,4677.240234375,1212.433349609375,4327.02587890625,320.15283203125,19,
NTPC.NS : POWERGRID.NS,2021-09-15,2021-10-13,LONG,106.43914794921876,110.5501480102539,128.6975860595703,8.897987365722656,28,
SBIN.NS : VEDL.NS,2021-09-29,2021-10-13,LONG,436.9698181152344,153.3480682373047,457.58343505859375,6.2839813232421875,14,
IOC.NS : HINDZINC.NS,2021-09-16,2021-10-13,LONG,62.98176193237305,218.99642944335935,69.84668731689453,8.205440521240178,27,
CGPOWER.NS : BDL.NS,2021-09-20,2021-10-13,LONG,91.03265380859376,186.32257080078125,114.10021209716795,26.944770812988253,23,
HINDZINC.NS : POWERGRID.NS,2021-09-22,2021-10-14,SHORT,207.814453125,109.83550262451172,226.71261596679688,-1.56060791015625,22,
COALINDIA.NS : BDL.NS,2021-09-13,2021-10-14,LONG,111.89246368408205,185.8299865722656,133.02609252929688,18.66634368896483,31,
JINDALSTEL.NS : HINDZINC.NS,2021-09-20,2021-10-14,SHORT,346.89398193359375,211.37831115722656,441.151123046875,-78.92283630371094,24,
LT.NS : APOLLOTYRE.NS,2021-10-11,2021-10-14,SHORT,1651.9127197265625,231.4643096923828,1721.572021484375,-70.3809814453125,3,
CEATLTD.NS : HAL.NS,2021-10-11,2021-10-14,LONG,1363.92529296875,636.5342407226562,1328.602294921875,-72.144775390625,3,
MRF.NS : HINDZINC.NS,2021-10-08,2021-10-14,LONG,85422.8203125,206.2777557373047,84732.359375,-710.8957977294922,6,
COALINDIA.NS : HAL.NS,2021-09-15,2021-10-14,LONG,116.56067657470705,654.3738403320312,133.02609252929688,-2.5167617797851705,29,
BDL.NS : CEATLTD.NS,2021-10-08,2021-10-14,SHORT,179.0498046875,1337.6656494140625,188.2972717285156,-18.310821533203097,6,
